table_schema,table_name,column_name,data_type,is_nullable,column_default
extensions,pg_stat_statements,shared_blk_read_time,double precision,YES,null
extensions,pg_stat_statements,shared_blk_write_time,double precision,YES,null
extensions,pg_stat_statements,local_blk_read_time,double precision,YES,null
extensions,pg_stat_statements,local_blk_write_time,double precision,YES,null
extensions,pg_stat_statements,temp_blk_read_time,double precision,YES,null
extensions,pg_stat_statements,temp_blk_write_time,double precision,YES,null
extensions,pg_stat_statements,wal_records,bigint,YES,null
extensions,pg_stat_statements,wal_fpi,bigint,YES,null
extensions,pg_stat_statements,wal_bytes,numeric,YES,null
extensions,pg_stat_statements,jit_functions,bigint,YES,null
extensions,pg_stat_statements,jit_generation_time,double precision,YES,null
extensions,pg_stat_statements,jit_inlining_count,bigint,YES,null
extensions,pg_stat_statements,jit_inlining_time,double precision,YES,null
extensions,pg_stat_statements,jit_optimization_count,bigint,YES,null
extensions,pg_stat_statements,jit_optimization_time,double precision,YES,null
extensions,pg_stat_statements,jit_emission_count,bigint,YES,null
extensions,pg_stat_statements,jit_emission_time,double precision,YES,null
extensions,pg_stat_statements,jit_deform_count,bigint,YES,null
extensions,pg_stat_statements,jit_deform_time,double precision,YES,null
extensions,pg_stat_statements,stats_since,timestamp with time zone,YES,null
extensions,pg_stat_statements,minmax_stats_since,timestamp with time zone,YES,null
extensions,pg_stat_statements_info,dealloc,bigint,YES,null
extensions,pg_stat_statements_info,stats_reset,timestamp with time zone,YES,null
public,audit_logs,id,uuid,NO,gen_random_uuid()
public,audit_logs,company_id,uuid,YES,null
public,audit_logs,user_id,uuid,YES,null
public,audit_logs,table_name,text,NO,null
public,audit_logs,record_id,uuid,YES,null
public,audit_logs,action,USER-DEFINED,NO,null
public,audit_logs,old_values,jsonb,YES,null
public,audit_logs,new_values,jsonb,YES,null
public,audit_logs,ip_address,inet,YES,null
public,audit_logs,user_agent,text,YES,null
public,audit_logs,created_at,timestamp with time zone,YES,now()
public,billing_plans,id,uuid,NO,gen_random_uuid()
public,billing_plans,name,text,NO,null
public,billing_plans,description,text,YES,null
public,billing_plans,price_monthly,numeric,NO,null
public,billing_plans,price_yearly,numeric,YES,null
public,billing_plans,features,jsonb,YES,'{}'::jsonb
public,billing_plans,max_users,integer,YES,1
public,billing_plans,max_work_orders,integer,YES,null
public,billing_plans,is_active,boolean,YES,true
public,billing_plans,created_at,timestamp with time zone,YES,now()
public,companies,id,uuid,NO,gen_random_uuid()
public,companies,company_number,text,NO,null
public,companies,name,text,NO,null
public,companies,legal_name,text,YES,null
public,companies,tax_id,text,YES,null
public,companies,phone,text,YES,null
public,companies,email,text,YES,null
public,companies,website,text,YES,null
public,companies,address_line1,text,YES,null
public,companies,address_line2,text,YES,null
public,companies,city,text,YES,null
public,companies,state_province,text,YES,null
public,companies,postal_code,text,YES,null
public,companies,country,text,YES,'US'::text
public,companies,time_zone,text,YES,'UTC'::text
public,companies,currency,text,YES,'USD'::text
public,companies,is_active,boolean,YES,true
public,companies,created_at,timestamp with time zone,YES,now()
public,companies,updated_at,timestamp with time zone,YES,now()
public,companies,default_tax_rate,numeric,YES,0.0875
public,company_settings,id,uuid,NO,gen_random_uuid()
public,company_settings,company_id,uuid,YES,null
public,company_settings,business_hours,jsonb,YES,"'{""monday"": {""open"": ""08:00"", ""close"": ""17:00""}}'::jsonb"
public,company_settings,default_tax_rate,numeric,YES,0.0000
public,company_settings,invoice_terms,text,YES,'NET30'::text
public,company_settings,auto_invoice,boolean,YES,false
public,company_settings,require_signatures,boolean,YES,true
public,company_settings,allow_online_payments,boolean,YES,true
public,company_settings,emergency_rate_multiplier,numeric,YES,1.50
public,company_settings,travel_charge_per_mile,numeric,YES,0.65
public,company_settings,minimum_travel_charge,numeric,YES,25.00
public,company_settings,cancellation_fee,numeric,YES,50.00
public,company_settings,transparency_mode,boolean,YES,true
public,company_settings,created_at,timestamp with time zone,YES,now()
public,company_settings,updated_at,timestamp with time zone,YES,now()
public,customer_addresses,id,uuid,NO,gen_random_uuid()
public,customer_addresses,customer_id,uuid,YES,null
public,customer_addresses,type,text,YES,'service'::text
public,customer_addresses,address_line1,text,NO,null
public,customer_addresses,address_line2,text,YES,null
public,customer_addresses,city,text,NO,null
public,customer_addresses,state_province,text,NO,null
public,customer_addresses,postal_code,text,NO,null
public,customer_addresses,country,text,YES,'US'::text
public,customer_addresses,is_primary,boolean,YES,false
public,customer_addresses,latitude,numeric,YES,null
public,customer_addresses,longitude,numeric,YES,null
public,customer_addresses,access_notes,text,YES,null
public,customer_addresses,created_at,timestamp with time zone,YES,now()
public,customer_contacts,id,uuid,NO,gen_random_uuid()
public,customer_contacts,customer_id,uuid,YES,null
public,customer_contacts,name,text,NO,null
public,customer_contacts,title,text,YES,null
public,customer_contacts,email,text,YES,null
public,customer_contacts,phone,text,YES,null
public,customer_contacts,is_primary,boolean,YES,false
public,customer_contacts,created_at,timestamp with time zone,YES,now()
public,customer_notes,id,uuid,NO,gen_random_uuid()
public,customer_notes,customer_id,uuid,YES,null
public,customer_notes,user_id,uuid,YES,null
public,customer_notes,note_type,text,YES,'general'::text
public,customer_notes,subject,text,YES,null
public,customer_notes,content,text,NO,null
public,customer_notes,is_important,boolean,YES,false
public,customer_notes,created_at,timestamp with time zone,YES,now()
public,customer_tag_assignments,id,uuid,NO,gen_random_uuid()
public,customer_tag_assignments,customer_id,uuid,YES,null
public,customer_tag_assignments,tag_id,uuid,YES,null
public,customer_tag_assignments,assigned_by,uuid,YES,null
public,customer_tag_assignments,created_at,timestamp with time zone,YES,now()
public,customer_tags,id,uuid,NO,gen_random_uuid()
public,customer_tags,name,text,NO,null
public,customer_tags,description,text,YES,null
public,customer_tags,color,text,YES,'#6b7280'::text
public,customer_tags,priority,integer,YES,50
public,customer_tags,created_at,timestamp with time zone,YES,now()
public,customers,id,uuid,NO,gen_random_uuid()
public,customers,company_id,uuid,YES,null
public,customers,customer_number,text,NO,null
public,customers,type,text,YES,'residential'::text
public,customers,first_name,text,YES,null
public,customers,last_name,text,YES,null
public,customers,company_name,text,YES,null
public,customers,email,text,YES,null
public,customers,phone,text,YES,null
public,customers,mobile_phone,text,YES,null
public,customers,preferred_contact,text,YES,'phone'::text
public,customers,source,text,YES,null
public,customers,notes,text,YES,null
public,customers,credit_limit,numeric,YES,0.00
public,customers,payment_terms,text,YES,'NET30'::text
public,customers,tax_exempt,boolean,YES,false
public,customers,is_active,boolean,YES,true
public,customers,created_at,timestamp with time zone,YES,now()
public,customers,updated_at,timestamp with time zone,YES,now()
public,customers,customer_since,date,YES,CURRENT_DATE
public,customers_financial_summary,id,uuid,YES,null
public,customers_financial_summary,customer_number,text,YES,null
public,customers_financial_summary,type,text,YES,null
public,customers_financial_summary,display_name,text,YES,null
public,customers_financial_summary,email,text,YES,null
public,customers_financial_summary,phone,text,YES,null
public,customers_financial_summary,credit_limit,numeric,YES,null
public,customers_financial_summary,payment_terms,text,YES,null
public,customers_financial_summary,created_at,timestamp with time zone,YES,null
public,customers_financial_summary,primary_address,text,YES,null
public,customers_financial_summary,total_work_orders,bigint,YES,null
public,customers_financial_summary,completed_work_orders,bigint,YES,null
public,customers_financial_summary,active_work_orders,bigint,YES,null
public,customers_financial_summary,total_work_value,numeric,YES,null
public,customers_financial_summary,completed_work_value,numeric,YES,null
public,customers_financial_summary,total_invoices,bigint,YES,null
public,customers_financial_summary,total_invoiced,numeric,YES,null
public,customers_financial_summary,total_paid,numeric,YES,null
public,customers_financial_summary,outstanding_balance,numeric,YES,null
public,customers_financial_summary,last_service_date,timestamp with time zone,YES,null
public,customers_financial_summary,first_service_date,timestamp with time zone,YES,null
public,customers_financial_summary,customer_tier,text,YES,null
public,customers_financial_summary,payment_status,text,YES,null
public,customers_summary,id,uuid,YES,null
public,customers_summary,customer_number,text,YES,null
public,customers_summary,type,text,YES,null
public,customers_summary,display_name,text,YES,null
public,customers_summary,email,text,YES,null
public,customers_summary,phone,text,YES,null
public,customers_summary,primary_address,text,YES,null
public,customers_summary,total_work_orders,bigint,YES,null
public,customers_summary,total_revenue,numeric,YES,null
public,customers_summary,last_service_date,timestamp with time zone,YES,null
public,customers_summary,created_at,timestamp with time zone,YES,null
public,customers_summary,is_active,boolean,YES,null
public,documents,id,uuid,NO,gen_random_uuid()
public,documents,company_id,uuid,YES,null
public,documents,work_order_id,uuid,YES,null
public,documents,customer_id,uuid,YES,null
public,documents,document_type,text,NO,null
public,documents,title,text,NO,null
public,documents,file_name,text,NO,null
public,documents,file_url,text,NO,null
public,documents,file_size,integer,YES,null
public,documents,mime_type,text,YES,null
public,documents,created_by,uuid,YES,null
public,documents,created_at,timestamp with time zone,YES,now()
public,employee_performance,id,uuid,YES,null
public,employee_performance,employee_number,text,YES,null
public,employee_performance,employee_name,text,YES,null
public,employee_performance,job_title,text,YES,null
public,employee_performance,department,text,YES,null
public,employee_performance,total_work_orders,bigint,YES,null
public,employee_performance,avg_job_hours,numeric,YES,null
public,employee_performance,total_revenue,numeric,YES,null
public,employee_performance,completed_jobs,bigint,YES,null
public,employee_performance,completion_rate,numeric,YES,null
public,employee_performance,hire_date,date,YES,null
public,employee_performance,status,USER-DEFINED,YES,null
public,employee_performance_metrics,id,uuid,YES,null
public,employee_performance_metrics,employee_number,text,YES,null
public,employee_performance_metrics,employee_name,text,YES,null
public,employee_performance_metrics,job_title,text,YES,null
public,employee_performance_metrics,department,text,YES,null
public,employee_performance_metrics,role,USER-DEFINED,YES,null
public,employee_performance_metrics,status,USER-DEFINED,YES,null
public,employee_performance_metrics,hire_date,date,YES,null
public,employee_performance_metrics,total_work_orders,bigint,YES,null
public,employee_performance_metrics,completed_work_orders,bigint,YES,null
public,employee_performance_metrics,cancelled_work_orders,bigint,YES,null
public,employee_performance_metrics,completion_rate,numeric,YES,null
public,employee_performance_metrics,total_revenue,numeric,YES,null
public,employee_performance_metrics,avg_job_value,numeric,YES,null
public,employee_performance_metrics,avg_job_duration_hours,numeric,YES,null
public,employee_performance_metrics,late_starts,bigint,YES,null
public,employee_performance_metrics,overruns,bigint,YES,null
public,employee_performance_metrics,last_job_date,timestamp with time zone,YES,null
public,employee_performance_metrics,jobs_last_30_days,bigint,YES,null
public,employee_timesheets,id,uuid,NO,gen_random_uuid()
public,employee_timesheets,employee_id,uuid,YES,null
public,employee_timesheets,work_order_id,uuid,YES,null
public,employee_timesheets,date,date,NO,null
public,employee_timesheets,clock_in,timestamp with time zone,YES,null
public,employee_timesheets,clock_out,timestamp with time zone,YES,null
public,employee_timesheets,break_duration,integer,YES,0
public,employee_timesheets,regular_hours,numeric,YES,0.00
public,employee_timesheets,overtime_hours,numeric,YES,0.00
public,employee_timesheets,status,USER-DEFINED,YES,'draft'::timesheet_status_enum
public,employee_timesheets,notes,text,YES,null
public,employee_timesheets,approved_by,uuid,YES,null
public,employee_timesheets,approved_at,timestamp with time zone,YES,null
public,employee_timesheets,created_at,timestamp with time zone,YES,now()
public,employee_timesheets,updated_at,timestamp with time zone,YES,now()
public,employees,id,uuid,NO,gen_random_uuid()
public,employees,company_id,uuid,YES,null
public,employees,user_id,uuid,YES,null
public,employees,employee_number,text,NO,null
public,employees,hire_date,date,YES,CURRENT_DATE
public,employees,termination_date,date,YES,null
public,employees,job_title,text,YES,null
public,employees,department,text,YES,null
public,employees,hourly_rate,numeric,YES,0.00
public,employees,overtime_rate,numeric,YES,null
public,employees,emergency_contact_name,text,YES,null
public,employees,emergency_contact_phone,text,YES,null
public,employees,certifications,ARRAY,YES,null
public,employees,skills,ARRAY,YES,null
public,employees,notes,text,YES,null
public,employees,created_at,timestamp with time zone,YES,now()
public,employees,updated_at,timestamp with time zone,YES,now()
public,expenses,id,uuid,NO,gen_random_uuid()
public,expenses,company_id,uuid,YES,null
public,expenses,work_order_id,uuid,YES,null
public,expenses,employee_id,uuid,YES,null
public,expenses,expense_type,USER-DEFINED,NO,null
public,expenses,description,text,NO,null
public,expenses,amount,numeric,NO,null
public,expenses,expense_date,date,YES,CURRENT_DATE
public,expenses,receipt_url,text,YES,null
public,expenses,is_billable,boolean,YES,false
public,expenses,is_reimbursable,boolean,YES,true
public,expenses,status,text,YES,'pending'::text
public,expenses,approved_by,uuid,YES,null
public,expenses,approved_at,timestamp with time zone,YES,null
public,expenses,notes,text,YES,null
public,expenses,created_at,timestamp with time zone,YES,now()
public,inventory_items,id,uuid,NO,gen_random_uuid()
public,inventory_items,company_id,uuid,YES,null
public,inventory_items,sku,text,NO,null
public,inventory_items,name,text,NO,null
public,inventory_items,description,text,YES,null
public,inventory_items,category,text,YES,null
public,inventory_items,unit_of_measure,text,YES,'each'::text
public,inventory_items,cost_price,numeric,YES,0.00
public,inventory_items,sell_price,numeric,YES,0.00
public,inventory_items,reorder_point,integer,YES,0
public,inventory_items,reorder_quantity,integer,YES,0
public,inventory_items,barcode,text,YES,null
public,inventory_items,manufacturer,text,YES,null
public,inventory_items,model_number,text,YES,null
public,inventory_items,is_active,boolean,YES,true
public,inventory_items,created_at,timestamp with time zone,YES,now()
public,inventory_items,updated_at,timestamp with time zone,YES,now()
public,inventory_locations,id,uuid,NO,gen_random_uuid()
public,inventory_locations,company_id,uuid,YES,null
public,inventory_locations,name,text,NO,null
public,inventory_locations,description,text,YES,null
public,inventory_locations,address_line1,text,YES,null
public,inventory_locations,address_line2,text,YES,null
public,inventory_locations,city,text,YES,null
public,inventory_locations,state_province,text,YES,null
public,inventory_locations,postal_code,text,YES,null
public,inventory_locations,is_mobile,boolean,YES,false
public,inventory_locations,is_active,boolean,YES,true
public,inventory_locations,created_at,timestamp with time zone,YES,now()
public,inventory_movements,id,uuid,NO,gen_random_uuid()
public,inventory_movements,company_id,uuid,YES,null
public,inventory_movements,item_id,uuid,YES,null
public,inventory_movements,location_id,uuid,YES,null
public,inventory_movements,work_order_id,uuid,YES,null
public,inventory_movements,movement_type,USER-DEFINED,NO,null
public,inventory_movements,quantity,integer,NO,null
public,inventory_movements,unit_cost,numeric,YES,0.00
public,inventory_movements,reference_number,text,YES,null
public,inventory_movements,notes,text,YES,null
public,inventory_movements,created_by,uuid,YES,null
public,inventory_movements,created_at,timestamp with time zone,YES,now()
public,inventory_status_summary,id,uuid,YES,null
public,inventory_status_summary,sku,text,YES,null
public,inventory_status_summary,name,text,YES,null
public,inventory_status_summary,category,text,YES,null
public,inventory_status_summary,unit_of_measure,text,YES,null
public,inventory_status_summary,cost_price,numeric,YES,null
public,inventory_status_summary,sell_price,numeric,YES,null
public,inventory_status_summary,reorder_point,integer,YES,null
public,inventory_status_summary,reorder_quantity,integer,YES,null
public,inventory_status_summary,total_on_hand,bigint,YES,null
public,inventory_status_summary,total_allocated,bigint,YES,null
public,inventory_status_summary,total_available,bigint,YES,null
public,inventory_status_summary,stock_status,text,YES,null
public,inventory_status_summary,total_cost_value,numeric,YES,null
public,inventory_status_summary,total_sell_value,numeric,YES,null
public,inventory_status_summary,locations_count,bigint,YES,null
public,inventory_status_summary,is_active,boolean,YES,null
public,inventory_status_summary,created_at,timestamp with time zone,YES,null
public,inventory_status_summary,updated_at,timestamp with time zone,YES,null
public,inventory_stock,id,uuid,NO,gen_random_uuid()
public,inventory_stock,item_id,uuid,YES,null
public,inventory_stock,location_id,uuid,YES,null
public,inventory_stock,quantity_on_hand,integer,YES,0
public,inventory_stock,quantity_allocated,integer,YES,0
public,inventory_stock,quantity_available,integer,YES,null
public,inventory_stock,last_counted_at,timestamp with time zone,YES,null
public,inventory_stock,last_counted_by,uuid,YES,null
public,inventory_stock,updated_at,timestamp with time zone,YES,now()
public,inventory_summary,id,uuid,YES,null
public,inventory_summary,sku,text,YES,null
public,inventory_summary,name,text,YES,null
public,inventory_summary,category,text,YES,null
public,inventory_summary,cost_price,numeric,YES,null
public,inventory_summary,sell_price,numeric,YES,null
public,inventory_summary,reorder_point,integer,YES,null
public,inventory_summary,total_on_hand,bigint,YES,null
public,inventory_summary,total_allocated,bigint,YES,null
public,inventory_summary,total_available,bigint,YES,null
public,inventory_summary,stock_status,text,YES,null
public,inventory_summary,is_active,boolean,YES,null
public,invoice_line_items,id,uuid,NO,gen_random_uuid()
public,invoice_line_items,invoice_id,uuid,YES,null
public,invoice_line_items,description,text,NO,null
public,invoice_line_items,quantity,numeric,YES,1.000
public,invoice_line_items,unit_price,numeric,NO,null
public,invoice_line_items,total_price,numeric,YES,null
public,invoice_line_items,tax_rate,numeric,YES,0.0000
public,invoice_line_items,sort_order,integer,YES,0
public,invoice_line_items,created_at,timestamp with time zone,YES,now()
public,invoices,id,uuid,NO,gen_random_uuid()
public,invoices,company_id,uuid,YES,null
public,invoices,work_order_id,uuid,YES,null
public,invoices,customer_id,uuid,NO,null
public,invoices,invoice_number,text,NO,null
public,invoices,status,USER-DEFINED,YES,'draft'::invoice_status_enum
public,invoices,issue_date,date,YES,CURRENT_DATE
public,invoices,due_date,date,YES,null
public,invoices,subtotal,numeric,YES,0.00
public,invoices,tax_amount,numeric,YES,0.00
public,invoices,total_amount,numeric,YES,0.00
public,invoices,amount_paid,numeric,YES,0.00
public,invoices,balance_due,numeric,YES,null
public,invoices,terms,text,YES,'NET30'::text
public,invoices,notes,text,YES,null
public,invoices,sent_at,timestamp with time zone,YES,null
public,invoices,created_at,timestamp with time zone,YES,now()
public,invoices,updated_at,timestamp with time zone,YES,now()
public,invoices,discount_percentage,numeric,YES,0
public,invoices,late_fee_amount,numeric,YES,0
public,invoices,pdf_url,text,YES,null
public,invoices_summary,id,uuid,YES,null
public,invoices_summary,invoice_number,text,YES,null
public,invoices_summary,status,USER-DEFINED,YES,null
public,invoices_summary,issue_date,date,YES,null
public,invoices_summary,due_date,date,YES,null
public,invoices_summary,total_amount,numeric,YES,null
public,invoices_summary,amount_paid,numeric,YES,null
public,invoices_summary,balance_due,numeric,YES,null
public,invoices_summary,customer_name,text,YES,null
public,invoices_summary,company_name,text,YES,null
public,invoices_summary,work_order_number,text,YES,null
public,invoices_summary,payment_status,text,YES,null
public,invoices_summary,created_at,timestamp with time zone,YES,null
public,messages,id,uuid,NO,gen_random_uuid()
public,messages,company_id,uuid,YES,null
public,messages,work_order_id,uuid,YES,null
public,messages,customer_id,uuid,YES,null
public,messages,sender_id,uuid,YES,null
public,messages,recipient_type,text,NO,null
public,messages,recipient_id,uuid,YES,null
public,messages,subject,text,YES,null
public,messages,content,text,NO,null
public,messages,message_type,text,YES,'email'::text
public,messages,status,text,YES,'draft'::text
public,messages,sent_at,timestamp with time zone,YES,null
public,messages,read_at,timestamp with time zone,YES,null
public,messages,created_at,timestamp with time zone,YES,now()
